"histology_abbreviation","Sum","Freq_mut","percent_mut","percent_whole","cell_type","regulator","pathway","pathway_new"
"Cervix-AdenoCA",2,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Cervix-SCC",18,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"CNS-GBM",41,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"CNS-Oligo",18,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"CNS-PiloAstro",89,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Head-SCC",57,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Kidney-ChRCC",45,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Lung-AdenoCA",38,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Lung-SCC",48,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Lymph-CLL",95,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Myeloid-AML",13,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Myeloid-MDS",2,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Myeloid-MPN",23,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Prost-AdenoCA",210,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"SoftTissue-Leiomyo",15,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"SoftTissue-Liposarc",19,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Thy-AdenoCA",48,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Lymph-BNHL",107,20,0.186915887850467,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"ColoRect-AdenoCA",52,9,0.173076923076923,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Skin-Melanoma",106,18,0.169811320754717,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Bladder-TCC",23,3,0.130434782608696,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Stomach-AdenoCA",69,9,0.130434782608696,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Head-SCC",57,5,0.087719298245614,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Lung-AdenoCA",38,3,0.0789473684210526,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Eso-AdenoCA",98,5,0.0510204081632653,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"CNS-GBM",41,2,0.048780487804878,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Myeloid-MPN",23,1,0.0434782608695652,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Panc-AdenoCA",237,10,0.0421940928270042,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Lung-SCC",48,2,0.0416666666666667,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Kidney-RCC",143,5,0.034965034965035,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Liver-HCC",315,11,0.0349206349206349,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Lymph-CLL",95,3,0.0315789473684211,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Bone-Osteosarc",38,1,0.0263157894736842,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Breast-AdenoCA",198,5,0.0252525252525253,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Uterus-AdenoCA",40,1,0.025,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Kidney-ChRCC",45,1,0.0222222222222222,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Thy-AdenoCA",48,1,0.0208333333333333,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Panc-Endocrine",85,1,0.0117647058823529,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Prost-AdenoCA",210,2,0.00952380952380952,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Ovary-AdenoCA",112,1,0.00892857142857143,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"CNS-Medullo",146,1,0.00684931506849315,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Biliary-AdenoCA",33,0,0,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Bone-Benign",16,0,0,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Bone-Epith",10,0,0,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Breast-DCIS",3,0,0,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Breast-LobularCA",13,0,0,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Cervix-AdenoCA",2,0,0,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Cervix-SCC",18,0,0,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"CNS-Oligo",18,0,0,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"CNS-PiloAstro",89,0,0,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Myeloid-AML",13,0,0,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Myeloid-MDS",2,0,0,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"SoftTissue-Leiomyo",15,0,0,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"SoftTissue-Liposarc",19,0,0,0.0457142857142857,"MHCregulators","pos","Interferon Gamma Signaling","IFNg Signaling"
"Bladder-TCC",23,4,0.173913043478261,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"ColoRect-AdenoCA",52,8,0.153846153846154,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Skin-Melanoma",106,16,0.150943396226415,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Lung-AdenoCA",38,4,0.105263157894737,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Breast-LobularCA",13,1,0.0769230769230769,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Myeloid-AML",13,1,0.0769230769230769,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Uterus-AdenoCA",40,3,0.075,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Stomach-AdenoCA",69,5,0.072463768115942,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Lung-SCC",48,3,0.0625,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Eso-AdenoCA",98,6,0.0612244897959184,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Lymph-BNHL",107,6,0.0560747663551402,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Cervix-SCC",18,1,0.0555555555555556,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"CNS-Oligo",18,1,0.0555555555555556,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Head-SCC",57,3,0.0526315789473684,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Liver-HCC",315,15,0.0476190476190476,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Panc-AdenoCA",237,11,0.0464135021097046,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Biliary-AdenoCA",33,1,0.0303030303030303,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Breast-AdenoCA",198,6,0.0303030303030303,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Bone-Osteosarc",38,1,0.0263157894736842,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Panc-Endocrine",85,2,0.0235294117647059,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Kidney-ChRCC",45,1,0.0222222222222222,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Lymph-CLL",95,2,0.0210526315789474,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"CNS-Medullo",146,3,0.0205479452054795,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Ovary-AdenoCA",112,1,0.00892857142857143,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Kidney-RCC",143,1,0.00699300699300699,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Bone-Benign",16,0,0,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Bone-Epith",10,0,0,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Breast-DCIS",3,0,0,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Cervix-AdenoCA",2,0,0,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"CNS-GBM",41,0,0,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"CNS-PiloAstro",89,0,0,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Myeloid-MDS",2,0,0,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Myeloid-MPN",23,0,0,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Prost-AdenoCA",210,0,0,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"SoftTissue-Leiomyo",15,0,0,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"SoftTissue-Liposarc",19,0,0,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"Thy-AdenoCA",48,0,0,0.0403809523809524,"MHCregulators","pos","Rna Splicing Via Transesterification Reactions","RNA Splicing"
"ColoRect-AdenoCA",52,10,0.192307692307692,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Lymph-BNHL",107,16,0.149532710280374,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Lung-SCC",48,3,0.0625,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"CNS-GBM",41,2,0.048780487804878,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Bladder-TCC",23,1,0.0434782608695652,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Myeloid-MPN",23,1,0.0434782608695652,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Stomach-AdenoCA",69,3,0.0434782608695652,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Eso-AdenoCA",98,4,0.0408163265306122,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Skin-Melanoma",106,4,0.0377358490566038,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Lung-AdenoCA",38,1,0.0263157894736842,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Uterus-AdenoCA",40,1,0.025,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Panc-Endocrine",85,2,0.0235294117647059,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Liver-HCC",315,6,0.019047619047619,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Head-SCC",57,1,0.0175438596491228,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Panc-AdenoCA",237,4,0.0168776371308017,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Breast-AdenoCA",198,3,0.0151515151515152,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Lymph-CLL",95,1,0.0105263157894737,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Ovary-AdenoCA",112,1,0.00892857142857143,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Kidney-RCC",143,1,0.00699300699300699,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Biliary-AdenoCA",33,0,0,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Bone-Benign",16,0,0,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Bone-Epith",10,0,0,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Bone-Osteosarc",38,0,0,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Breast-DCIS",3,0,0,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Breast-LobularCA",13,0,0,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Cervix-AdenoCA",2,0,0,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Cervix-SCC",18,0,0,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"CNS-Medullo",146,0,0,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"CNS-Oligo",18,0,0,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"CNS-PiloAstro",89,0,0,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Kidney-ChRCC",45,0,0,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Myeloid-AML",13,0,0,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Myeloid-MDS",2,0,0,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Prost-AdenoCA",210,0,0,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"SoftTissue-Leiomyo",15,0,0,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"SoftTissue-Liposarc",19,0,0,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Thy-AdenoCA",48,0,0,0.0247619047619048,"MHCregulators","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"ColoRect-AdenoCA",52,5,0.0961538461538462,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Head-SCC",57,4,0.0701754385964912,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Lung-AdenoCA",38,2,0.0526315789473684,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Bladder-TCC",23,1,0.0434782608695652,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Stomach-AdenoCA",69,3,0.0434782608695652,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Eso-AdenoCA",98,4,0.0408163265306122,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Skin-Melanoma",106,3,0.0283018867924528,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Bone-Osteosarc",38,1,0.0263157894736842,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Uterus-AdenoCA",40,1,0.025,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"CNS-GBM",41,1,0.024390243902439,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Panc-AdenoCA",237,5,0.0210970464135021,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Thy-AdenoCA",48,1,0.0208333333333333,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Lymph-BNHL",107,2,0.0186915887850467,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Liver-HCC",315,4,0.0126984126984127,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Panc-Endocrine",85,1,0.0117647058823529,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Lymph-CLL",95,1,0.0105263157894737,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Ovary-AdenoCA",112,1,0.00892857142857143,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Kidney-RCC",143,1,0.00699300699300699,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Prost-AdenoCA",210,1,0.00476190476190476,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Biliary-AdenoCA",33,0,0,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Bone-Benign",16,0,0,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Bone-Epith",10,0,0,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Breast-AdenoCA",198,0,0,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Breast-DCIS",3,0,0,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Breast-LobularCA",13,0,0,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Cervix-AdenoCA",2,0,0,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Cervix-SCC",18,0,0,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"CNS-Medullo",146,0,0,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"CNS-Oligo",18,0,0,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"CNS-PiloAstro",89,0,0,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Kidney-ChRCC",45,0,0,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Lung-SCC",48,0,0,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Myeloid-AML",13,0,0,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Myeloid-MDS",2,0,0,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"Myeloid-MPN",23,0,0,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"SoftTissue-Leiomyo",15,0,0,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"SoftTissue-Liposarc",19,0,0,0.016,"MHCregulators","pos","Ifna Pathway","IFNa Pathway"
"ColoRect-AdenoCA",52,5,0.0961538461538462,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Skin-Melanoma",106,9,0.0849056603773585,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Lung-SCC",48,2,0.0416666666666667,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Biliary-AdenoCA",33,1,0.0303030303030303,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Stomach-AdenoCA",69,2,0.0289855072463768,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Bone-Osteosarc",38,1,0.0263157894736842,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Breast-AdenoCA",198,5,0.0252525252525253,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Uterus-AdenoCA",40,1,0.025,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Lymph-BNHL",107,2,0.0186915887850467,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Head-SCC",57,1,0.0175438596491228,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Panc-AdenoCA",237,4,0.0168776371308017,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Kidney-RCC",143,1,0.00699300699300699,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Liver-HCC",315,2,0.00634920634920635,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Bladder-TCC",23,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Bone-Benign",16,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Bone-Epith",10,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Breast-DCIS",3,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Breast-LobularCA",13,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Cervix-AdenoCA",2,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Cervix-SCC",18,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"CNS-GBM",41,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"CNS-Medullo",146,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"CNS-Oligo",18,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"CNS-PiloAstro",89,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Eso-AdenoCA",98,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Kidney-ChRCC",45,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
