"Name_pos","Score_pos","Rank_pos","HumanGene","hommel_p_pos","fdr_pos","mean_score_pos","sd_score_pos","n_screens_pos","Name_neg","Score_neg","Rank_neg","hommel_p_neg","fdr_neg","mean_score_neg","sd_score_neg","n_screens_neg","Direction","cell_type","Score","P_value","Category","Regulation"
"GALR1",1,13341,"GALR1",1,1,-0.0879624031414454,0.550207271981956,13,"GALR1",0.45834097541417,4176,1,1,0.161325029945288,0.503756989514007,13,"NS","NKcells",0.0366813134019213,0.05,"NK cell","NK cell"
"STRADA",1,13342,"STRADA",1,1,-0.0859142615310501,0.623990858387154,13,"STRADA",0.537451211811644,4724,1,1,0.122129823999957,0.681799287193333,13,"NS","NKcells",0.0181077812344533,0.05,"NK cell","NK cell"
"RHOF",1,13343,"RHOF",1,1,-0.184131631988305,0.502689805626923,13,"RHOF",0.261049626811583,2698,1,1,0.226986266224003,0.594793498923378,13,"NS","NKcells",0.0214273171178493,0.05,"NK cell","NK cell"
"LRRC14",1,13344,"LRRC14",1,1,-0.230558941839384,0.525844840659208,13,"LRRC14",0.456322379880031,4160,0.18419811729798,1,0.0966832211022839,0.590214809054176,13,"NS","NKcells",-0.0669378603685503,0.05,"NK cell","NK cell"
"DENND6B",1,13345,"DENND6B",1,1,0.0156248450027685,0.653635930245195,13,"DENND6B",1,8930,0.183102561219336,1,-0.00464192853793539,0.651744162880107,13,"NS","NKcells",0.00549145823241656,0.05,"NK cell","NK cell"
"TRIM69",1,13346,"TRIM69",1,1,0.0313719630967659,0.591344577670079,13,"TRIM69",1,12434,1,1,-0.0753537267442541,0.594543452288451,13,"NS","NKcells",-0.0219908818237441,0.05,"NK cell","NK cell"
"MYOZ3",1,13347,"MYOZ3",1,1,-0.0808417999025224,0.53021620757702,13,"MYOZ3",0.624097311247713,5246,1,1,0.245189305178402,0.583514245659875,13,"NS","NKcells",0.0821737526379396,0.05,"NK cell","NK cell"
"RAB44",1,13348,"RAB44",1,1,-0.122281617663896,0.686293037485587,12,"RAB44",0.18421550063292,2093,1,1,0.221450111681006,0.671684656903064,12,"NS","NKcells",0.0495842470085549,0.05,"NK cell","NK cell"
"HECTD3",1,13349,"HECTD3",1,1,-0.0226327371616609,0.550674508437176,13,"HECTD3",0.745431941349408,6006,1,1,-0.0286152717453097,0.693280126470264,13,"NS","NKcells",-0.0256240044534853,0.05,"NK cell","NK cell"
"ATP1B3",1,13350,"ATP1B3",0.000826834776334776,1,-0.0922002437808811,0.543996434486297,13,"ATP1B3",1,7761,1,1,-0.00165621393983299,0.606659119649924,13,"NS","NKcells",-0.046928228860357,0.05,"NK cell","NK cell"
"PEX19",1,13351,"PEX19",1,1,-0.266134324380569,0.409392894245072,13,"PEX19",0.66538090276614,5499,1,1,0.0308098141394851,0.426167032136708,13,"NS","NKcells",-0.117662255120542,0.05,"NK cell","NK cell"
"MAPK8",1,13352,"MAPK8",1,1,0.0738979603548241,0.543629506003481,13,"MAPK8",0.0501704873083052,793,1,1,0.393038881262125,0.500496650656874,13,"NS","NKcells",0.233468420808474,0.05,"NK cell","NK cell"
"MCM3AP",1,13353,"MCM3AP",1,1,-0.0189569866624919,0.516813374754206,13,"MCM3AP",1,7555,0.453518874819625,1,0.0389296509845879,0.652814558075854,13,"NS","NKcells",0.00998633216104797,0.05,"NK cell","NK cell"
"VWDE",1,13354,"VWDE",1,1,-0.0965526516911568,0.560914805341918,13,"VWDE",0.0495527594473324,783,1,1,0.29397331922295,0.399570789954431,13,"NS","NKcells",0.0987103337658966,0.05,"NK cell","NK cell"
"SCEL",1,13355,"SCEL",1,1,-0.0410747929606613,0.682244442689603,13,"SCEL",1,13566,1,1,-0.111321155849497,0.545432761530433,13,"NS","NKcells",-0.0761979744050792,0.05,"NK cell","NK cell"
"TMEM60",1,13356,"TMEM60",1,1,-0.0949391383703344,0.678800322227426,13,"TMEM60",0.0382669352914575,636,0.954001964935065,1,0.29522394025298,0.540378334985998,13,"NS","NKcells",0.100142400941323,0.05,"NK cell","NK cell"
"TMEM114",1,13357,"TMEM114",1,1,-0.205941048920412,0.618081935551629,12,"TMEM114",1,12324,1,1,0.0630943341771984,0.481345989732898,12,"NS","NKcells",-0.0714233573716067,0.05,"NK cell","NK cell"
"UBB",1,13358,"UBB",0.305680816810967,1,-0.153024385579605,0.548047522311904,13,"UBB",1,10935,1,1,0.0687432608329812,0.450722926737756,13,"NS","NKcells",-0.0421405623733117,0.05,"NK cell","NK cell"
"PCSK1",1,13359,"PCSK1",1,1,-0.0823298220298772,0.615430514739246,13,"PCSK1",1,11981,1,1,-0.0842794085238582,0.489300501722576,13,"NS","NKcells",-0.0833046152768677,0.05,"NK cell","NK cell"
